Posicao;Nome;Curso;Opcao;Grupo;Media
1;Paul Meiras;Engenharia de Computacao - Sao Carlos;1;5;999.00
2;Dylan Sullivan Bradshaw;Ciencias Econimcas - Sorocaba;1;3;951.11
3;Jasper Holmes Dotson;Engenharia de alimentos - Lagoa do Sino;1;4;936.89
4;Robert Kirkland Cain;Medicina - Sao Carlos;1;2;935.29
5;Donna;Ciencias Biologicas - Araras;1;5;932.88
6;Reagan Snow Simon;Biotecnologia - Sao Carlos;1;3;925.25
7;Freya Pruitt Maxwell;Biblioteconomia - Sao Carlos;1;3;920.88
8;Shelby Lamb Green;Administracao - Sorocaba;1;1;920.25
9;Zachary Gray Simpson;Ciencia da Computacao - Sorocaba;1;2;919.50
10;Sydney Owens Flowers;Quimica - Sorocaba;1;1;919.33
11;Priscilla Snyder Boyd;Estatistica - Sao Carlos;1;2;917.43
12;Lucian Buckner Castro;Educacao Fisica - Sao Carlos;1;4;915.83
13;Jillian Montgomery Holmes;Matematica - Sao Carlos;1;1;910.29
14;Tyler Harris Lambert;Geografia - Sorocaba;1;5;909.75
15;Jameson Sherman Mcgee;Enhenharia de Producao - Sao Carlos;1;3;909.57
16;Genevieve Murphy Wilkins;Biotecnologia - Araras;1;3;908.11
17;Justin Robles Hatfield;Quimica - Araras;1;4;907.00
18;Bianca Caldwell Clements;Educacao Fisica - Sao Carlos;1;5;905.50
19;Patience Ayers Gordon;Engenharia Ambiental - Lagoa do Sino;1;1;903.00
20;Slade Mckay Norman;Engenharia Civil - Sao Carlos;1;1;902.75
21;Carly Wolf Carr;Ciencia da Computacao - Sorocaba;1;2;902.50
22;Sebastian Moran Perez;Engenharia Quimica - Sao Carlos;1;2;900.57
23;Angelica Mccormick Vaughan;Biotecnologia - Araras;1;1;899.00
24;August Berger Moreno;Gerontologia - Sao Carlos;1;4;898.78
25;Shoshana Castro Roth;Estatistica - Sao Carlos;1;4;898.14
26;Connor Odom Mosley;Fisioterapia - Sao Carlos;1;1;897.38
27;Clarke;Ciencias Biologicas - Araras;1;4;896.88
28;Rhiannon Hayden Guerra;Enfermagem - Sao Carlos;1;4;896.25
29;Forrest Luna Stuart;Imagem Som - Sao Carlos;1;4;896.13
30;Vielka Colon Fry;Geografia - Sorocaba;1;5;896.00
31;William Rice Goff;Estatistica - Sao Carlos;1;3;895.00
32;Carson Gilliam Farrell;Engenharia Eletrica - Sao Carlos;1;3;893.14
33;Isaiah White Dillon;Quimica - Sorocaba;1;2;891.56
34;Lee Farrell Casey;Administracao - Sorocaba;1;3;891.13
35;Heidi Welch Lowe;Administracao - Sorocaba;1;2;891.13
36;Lucian Holmes West;Biotecnologia - Sao Carlos;1;4;888.75
37;Roary Hoover Bradshaw;Geografia - Sorocaba;1;3;886.75
38;Akeem Lopez Woods;Turismo - Sorocaba;1;3;886.67
39;Gavin Horne Steele;Ciencia da Computacao - Sao Carlos;1;3;885.25
40;Perry Winters Walton;Engenharia Quimica - Sao Carlos;1;5;884.86
41;Bruce Case Crane;Engenharia de Producao - Sorocaba;1;4;884.00
42;Luke Hancock Moore;Ciencias Biologicas - Araras;1;1;883.63
43;Carla Santana Snow;Engenharia Fisica - Sao Carlos;1;2;882.71
44;Lane Nelson Rios;Engenharia Eletrica - Sao Carlos;1;4;882.29
45;Madison Noble Flowers;Engenharia de Materiais - Sao Carlos;1;3;881.86
46;Laith Lloyd Phillips;Gestao e Analise Ambiental - Sao Carlos;1;5;881.38
47;Vincent;Ciencias Biologicas - Araras;1;3;880.88
48;Ricardo Ciferri;Engenharia de Computacao - Sao Carlos;1;4;880.13
49;Autumn Ramirez Clayton;Engenharia de Materiais - Sao Carlos;1;5;878.43
50;Kylee Valenzuela Armstrong;Filosofia - Sao Carlos;1;5;878.38
51;Addison Wilkerson Daugherty;Ciencias Biologicas - Araras;1;1;877.88
52;Channing Hurst Clark;Estatistica - Sao Carlos;1;3;876.14
53;Vielka Fry Velazquez;Engenharia Quimica - Sao Carlos;1;3;875.86
54;Kelsie Barnett Newton;Ciencias Econimcas - Sorocaba;1;3;874.00
55;Cally Buchanan Gates;Fisica - Sorocaba;1;4;873.89
56;Amity Nash Bishop;Matematica - Sorocaba;1;3;873.50
57;Cherokee Daniels Cantrell;Linguistica - Sao Carlos;1;5;872.75
58;Cameron;Ciencias Biologicas - Araras;1;3;872.63
59;Zorita Rowe Pugh;Engenharia Agronomica - Araras;1;1;872.57
60;Barry Rodgers Mcgowan;Engenharia Mecanica - Sao Carlos;1;3;872.29
61;Curran Bryant Fitzgerald;Quimica - Sao Carlos;1;3;872.00
62;Seth;Biotecnologia - Araras;1;5;872.00
63;Chelsea Roman Willis;Educacao Fisica - Sao Carlos;1;1;871.83
64;Rogan Bright Mendez;Pedagogia - Sao Carlos;1;2;871.57
65;Quamar Finch Humphrey;Engenharia de alimentos - Lagoa do Sino;1;1;871.11
