Classificados por curso:

Curso:;Agroecologia - Araras
Posicao;Nome;Opcao;Grupo;Media
1;MELINDA;1;2;868.43
2;CADMAN;1;3;855.14
3;LANCE;1;5;850.43
4;REGINA;1;5;849.86
5;ZENA WOLF GARCIA;1;2;843.86
6;AMBER;2;1;837.57
7;CHADWICK CHARLES BARTON;2;1;823.00
8;NATALIE;2;1;822.86
9;KIARA COLON BURNS;1;5;822.57
10;DESTINY;1;5;820.00
11;AMY KNAPP BEAN;1;3;819.57
12;BAXTER;1;2;818.29
13;WHITNEY;2;2;812.71
14;LYSANDRA;1;5;812.29
15;PORTER STRICKLAND SMALL;1;1;808.43
16;STACEY RUSSO DORSEY;1;5;803.29
17;FLORENCE STEVENS FRYE;1;1;802.57
18;BRENNA BEAN HINES;2;5;799.43
19;NOELANI;2;1;795.57
20;DAMON GUY BELL;1;3;792.71
21;OLIVER;1;3;792.43
22;IVORY;1;5;791.43
23;GRETCHEN MACK DAVENPORT;1;5;783.14
24;NASH;1;3;782.57
25;GRAHAM;1;3;782.43
26;MIRANDA HICKMAN UNDERWOOD;1;5;774.00
27;OLGA;1;5;769.57
28;BELL TURNER MOSLEY;1;4;765.43
29;GARETH;1;5;762.86
30;KIBO BARNETT NAVARRO;1;4;761.00
31;PIPER;2;4;757.00
32;MYRA DICKSON NELSON;2;5;756.43
33;JAMALIA;2;4;755.57
34;QUINN BOYLE ROY;1;5;752.00
35;CASSIDY;1;5;742.14
36;HOLMES CRAWFORD COOK;1;5;742.00
37;IRENE;1;5;738.29
38;HADLEY JACKSON BOYD;1;5;734.86
39;TALLULAH ORR LEONARD;1;5;734.14
40;MACAULAY;1;5;733.43
41;PAUL;1;0;0.00


Curso:;Biotecnologia - Araras
Posicao;Nome;Opcao;Grupo;Media
1;GENEVIEVE MURPHY WILKINS;1;3;908.11
2;ANGELICA MCCORMICK VAUGHAN;1;1;899.00
3;SETH;1;5;872.00
4;RICARDO CIFERRI;1;4;871.11
5;JENNA;1;2;868.22
6;DEANNA;1;5;863.44
7;DALTON;1;1;862.33
8;PHELAN;1;3;851.78
9;CHEYENNE;1;4;851.11
10;EVELYN ALLISON RICHARDSON;1;1;834.33
11;VANNA;1;3;818.44
12;ANGELA LANGLEY DIXON;1;1;817.56
13;GARRISON YANG CURRY;1;2;810.33
14;LILLIAN;1;2;798.67
15;CHASTITY MCKENZIE HESTER;1;4;797.33
16;FREYA YANG CAMPOS;1;1;797.11
17;AUTUMN;2;3;792.78
18;AMAYA CAIN SANCHEZ;1;5;780.78
19;KERRY;1;5;774.11
20;JESCIE DAVIS LYONS;1;5;773.44
21;ZACHERY;1;5;761.89
22;GISELA HARRISON CASEY;2;5;744.89
23;LACEY;2;5;742.89
24;TATYANA PERRY DAY;1;5;739.67
25;SYLVESTER;1;5;735.44
26;NAOMI;1;5;733.22
27;FAITH VELEZ GOODWIN;1;5;733.22
28;EDEN SHEPPARD ARNOLD;1;5;732.56
29;SHELLEY;1;5;725.22
30;TOBIAS STEVENS GOODMAN;2;5;724.00


Curso:;Ciencias Biologicas - Araras
Posicao;Nome;Opcao;Grupo;Media
1;DONNA;1;5;932.88
2;CLARKE;1;4;896.88
3;LUKE HANCOCK MOORE;1;1;883.63
4;VINCENT;1;3;880.88
5;ADDISON WILKERSON DAUGHERTY;1;1;877.88
6;CAMERON;1;3;872.63
7;CHAVA;1;3;867.13
8;RYAN;1;1;858.50
9;TATUM;1;4;850.13
10;KIBO;1;2;849.00
11;ELIZABETH RHODES JORDAN;1;1;845.00
12;CECILIA;1;3;842.88
13;DAI RAY LEON;1;3;839.75
14;HARPER MCMILLAN SHANNON;2;1;823.13
15;TAMARA JOYCE CABRERA;1;4;814.63
16;RENEE;1;1;809.63
17;LEE RODRIQUEZ SOSA;1;2;805.88
18;NELLE;1;2;802.25
19;GARRETT;1;3;796.75
20;DEVIN;1;5;796.13
21;LILA;2;4;796.13
22;ARSENIO;1;5;792.63
23;PETER WILDER JOHNSON;1;2;787.88
24;SYLVIA JAMES WARD;1;5;783.13
25;MARIAM;1;5;776.13
26;JANA WOOD LYNN;1;5;772.13
27;THEODORE AGUIRRE MORRISON;1;5;771.38
28;NAYDA;1;5;761.00
29;PHILIP;1;5;760.75
30;DEAN HURST MORALES;2;5;756.63
31;JOHN;1;5;744.75
32;AUBREY;1;5;739.00
33;MASON;1;5;727.50
34;MURPHY;2;5;719.75
35;YOLANDA;2;5;719.38
36;XANDER BURNS WARNER;1;5;718.00
37;MOLLIE;2;5;710.13
38;STEVEN;2;5;706.63
39;ANJOLIE;2;5;701.75
40;GEORGE;1;5;698.50


Curso:;Engenharia Agronomica - Araras
Posicao;Nome;Opcao;Grupo;Media
1;ZORITA ROWE PUGH;1;1;872.57
2;VIVIAN GLENN DENNIS;1;3;868.71
3;STEPHEN ONEAL MCMAHON;1;3;859.29
